Date,Terminal,Product,TGP_Excluding_GST,GST,TGP_Including_GST
21/03/2026,Yarraville,P98,234.81,23.48,258.29
21/03/2026,Yarraville,DIS,252.51,25.25,277.76
21/03/2026,Yarraville,PREDIS,254.33,25.43,279.76
21/03/2026,Sydney,ULP,203.29,20.33,223.62
21/03/2026,Sydney,E10,203.09,20.31,223.40
21/03/2026,Sydney,P95,227.81,22.78,250.59
21/03/2026,Sydney,P98,236.34,23.63,259.98
21/03/2026,Sydney,DIS,252.72,25.27,277.99
21/03/2026,Sydney,PREDIS,254.54,25.45,279.99
21/03/2026,Brisbane,ULP,207.70,20.77,228.47
21/03/2026,Brisbane,E10,205.56,20.56,226.12
21/03/2026,Brisbane,P95,224.42,22.44,246.86
21/03/2026,Brisbane,P98,239.14,23.91,263.05
21/03/2026,Brisbane,DIS,253.71,25.37,279.08
21/03/2026,Brisbane,PREDIS,255.52,25.55,281.08
21/03/2026,Brisbane,B5,257.36,25.74,283.09
21/03/2026,Gladstone,ULP,211.51,21.15,232.66
21/03/2026,Gladstone,E10,207.10,20.71,227.81
21/03/2026,Gladstone,P95,222.05,22.21,244.26
21/03/2026,Gladstone,P98,,,
21/03/2026,Gladstone,DIS,253.30,25.33,278.63
21/03/2026,Gladstone,PREDIS,255.12,25.51,280.63
21/03/2026,Mackay,ULP,211.65,21.16,232.81
21/03/2026,Mackay,E10,209.72,20.97,230.69
21/03/2026,Mackay,P95,224.63,22.46,247.09
21/03/2026,Mackay,P98,227.52,22.75,250.27
21/03/2026,Mackay,DIS,254.05,25.41,279.46
21/03/2026,Mackay,PREDIS,255.87,25.59,281.46
21/03/2026,Townsville,ULP,211.59,21.16,232.75
21/03/2026,Townsville,E10,212.59,21.26,233.85
21/03/2026,Townsville,P95,232.97,23.30,256.26
21/03/2026,Townsville,P98,250.23,25.02,275.26
21/03/2026,Townsville,DIS,256.18,25.62,281.80
21/03/2026,Townsville,PREDIS,258.00,25.80,283.80
21/03/2026,Cairns,ULP,210.44,21.04,231.49
21/03/2026,Cairns,E10,221.80,22.18,243.98
21/03/2026,Cairns,P95,227.97,22.80,250.77
21/03/2026,Cairns,P98,,,
21/03/2026,Cairns,DIS,254.22,25.42,279.65
21/03/2026,Cairns,PREDIS,256.04,25.60,281.65
21/03/2026,Port Alma,DIS,253.30,25.33,278.63
21/03/2026,Adelaide,ULP,202.54,20.25,222.80
21/03/2026,Adelaide,E10,198.78,19.88,218.66
21/03/2026,Adelaide,P95,219.97,22.00,241.97
21/03/2026,Adelaide,P98,235.19,23.52,258.71
21/03/2026,Adelaide,DIS,249.40,24.94,274.34
21/03/2026,Adelaide,PREDIS,251.22,25.12,276.34
21/03/2026,Perth,ULP,204.91,20.49,225.40
21/03/2026,Perth,E10,,,
21/03/2026,Perth,P95,224.03,22.40,246.44
21/03/2026,Perth,P98,239.63,23.96,263.60
21/03/2026,Perth,DIS,250.65,25.07,275.72
21/03/2026,Perth,PREDIS,252.47,25.25,277.72
21/03/2026,Darwin,ULP,209.32,20.93,230.25
21/03/2026,Darwin,E10,,,
21/03/2026,Darwin,P95,229.19,22.92,252.11
21/03/2026,Darwin,P98,,,
21/03/2026,Darwin,DIS,253.29,25.33,278.62
21/03/2026,Darwin,PREDIS,255.10,25.51,280.62
21/03/2026,Bell Bay,ULP,209.63,20.96,230.60
21/03/2026,Bell Bay,E10,209.74,20.97,230.72
21/03/2026,Bell Bay,P95,227.33,22.73,250.06
21/03/2026,Bell Bay,P98,231.29,23.13,254.41
21/03/2026,Bell Bay,DIS,256.80,25.68,282.48
21/03/2026,Bell Bay,PREDIS,258.62,25.86,284.48
21/03/2026,Broome,ULP,231.28,23.13,254.40
21/03/2026,Broome,E10,,,
21/03/2026,Broome,P95,249.51,24.95,274.46
21/03/2026,Broome,P98,,,
21/03/2026,Broome,DIS,259.81,25.98,285.79
24/03/2026,Hastings,ULP,209.57,20.96,230.53
24/03/2026,Hastings,E10,209.40,20.94,230.35
24/03/2026,Hastings,P95,232.89,23.29,256.18
24/03/2026,Hastings,P98,240.51,24.05,264.57
24/03/2026,Hastings,DIS,261.22,26.12,287.35
24/03/2026,Hastings,PREDIS,263.04,26.30,289.35
24/03/2026,Yarraville,ULP,209.57,20.96,230.53
24/03/2026,Yarraville,E10,209.40,20.94,230.35
24/03/2026,Yarraville,P95,232.89,23.29,256.18
24/03/2026,Yarraville,P98,240.51,24.05,264.57
24/03/2026,Yarraville,DIS,261.22,26.12,287.35
24/03/2026,Yarraville,PREDIS,263.04,26.30,289.35
24/03/2026,Sydney,ULP,208.84,20.88,229.73
24/03/2026,Sydney,E10,208.59,20.86,229.45
24/03/2026,Sydney,P95,233.50,23.35,256.85
24/03/2026,Sydney,P98,242.05,24.20,266.25
24/03/2026,Sydney,DIS,261.44,26.14,287.58
24/03/2026,Sydney,PREDIS,263.25,26.33,289.58
24/03/2026,Brisbane,ULP,212.01,21.20,233.21
